user_id,country,device,geo_zone,avg_session_min,sessions_last_30d,days_since_last_login,customer_support_tickets,monthly_fee,churned
U700000,FR,android,zone_060,22.8,10,4,0,28.02,0
U700001,IT,android,zone_102,16.16,12,12,1,30.12,0
U700002,FR,ios,zone_151,14.89,4,7,0,6.01,0
U700003,ES,android,zone_035,14.8,8,14,0,12.74,0
U700004,FR,web,zone_130,7.67,7,4,1,18.57,0
U700005,IT,ios,zone_126,19.48,10,5,0,16.86,0
U700006,FR,android,zone_020,18.36,10,8,1,17.65,0
U700007,IT,ios,zone_102,7.71,9,10,1,24.32,0
U700008,DE,android,zone_172,9.89,8,15,0,35.27,0
U700009,DE,android,zone_083,20.8,7,9,1,34.22,1
U700010,IT,android,zone_135,11.13,10,5,1,22.93,0
U700011,DE,android,zone_198,10.15,8,6,1,6.45,0
U700012,IT,web,zone_047,17.01,12,8,0,14.17,0
U700013,FR,ios,zone_105,29.33,9,11,2,33.33,0
U700014,FR,web,zone_200,12.76,4,13,1,2.03,0
U700015,CH,android,zone_037,8.72,9,13,2,21.49,1
U700016,FR,android,zone_028,15.32,11,5,1,15.93,0
U700017,FR,android,zone_145,31.09,10,6,1,21.53,0
U700018,DE,web,zone_012,4.3,6,7,0,32.69,0
U700019,FR,ios,zone_106,5.43,7,9,1,30.68,0
U700020,FR,ios,zone_096,35.84,8,6,1,34.74,0
U700021,FR,android,zone_047,14.2,8,11,0,15.57,0
U700022,FR,android,zone_059,19.85,13,12,0,4.22,0
U700023,FR,ios,zone_048,4.38,8,9,1,18.08,0
U700024,ES,ios,zone_129,5.6,6,8,0,22.3,0
U700025,CH,ios,zone_173,11.01,11,9,0,26.09,0
U700026,FR,web,zone_167,33.18,11,8,0,26.49,0
U700027,FR,android,zone_204,,4,5,0,21.8,0
U700028,FR,web,zone_095,5.71,9,10,1,23.6,0
U700029,ES,ios,zone_114,19.77,9,3,3,17.1,0
U700030,BE,ios,zone_012,7.95,10,5,0,27.11,0
U700031,FR,ios,zone_149,13.42,11,7,0,17.88,0
U700032,DE,android,zone_113,8.25,9,15,2,29.83,0
U700033,FR,android,zone_027,31.32,10,8,0,19.25,0
U700034,FR,android,zone_149,14.42,11,8,1,17.55,0
U700035,ES,android,zone_099,10.45,8,11,2,25.4,0
U700036,FR,android,zone_120,23.86,12,12,0,18.56,0
U700037,CH,ios,zone_100,11.39,9,7,1,23.49,0
U700038,FR,android,zone_119,8.39,8,8,1,13.88,0
U700039,FR,ios,zone_033,15.82,10,5,0,12.26,0
U700040,FR,android,zone_137,5.79,9,9,0,27.35,0
U700041,FR,ios,zone_005,7.86,10,7,2,15.23,0
U700042,FR,web,zone_151,6.71,6,8,0,20.25,0
U700043,BE,android,zone_148,11.75,11,5,0,24.44,0
U700044,FR,web,zone_123,8.58,11,6,1,27.45,0
U700045,IT,android,zone_081,21.78,8,8,0,18.57,0
U700046,IT,android,zone_168,26.38,10,3,0,7.15,0
U700047,ES,android,zone_083,15.36,6,7,0,21.89,0
U700048,CH,ios,zone_027,2.4,6,8,0,23.78,0
U700049,ES,ios,zone_209,10.12,4,9,0,19.0,0
U700050,ES,web,zone_153,8.04,10,10,0,16.26,0
U700051,FR,ios,zone_037,50.17,8,12,1,25.46,0
U700052,FR,web,zone_150,22.94,10,8,2,25.43,0
U700053,FR,ios,zone_176,2.4,10,15,1,19.93,0
U700054,DE,android,zone_070,18.7,8,10,0,26.33,0
U700055,IT,web,zone_197,8.27,19,12,3,27.44,0
U700056,FR,android,zone_051,21.46,11,5,1,12.99,0
U700057,ES,android,zone_162,18.11,9,2,0,17.85,0
U700058,ES,android,zone_035,13.1,11,4,2,11.61,0
U700059,BE,web,zone_075,9.23,2,9,0,7.09,1
U700060,FR,android,zone_179,10.9,10,4,0,16.37,0
U700061,FR,ios,zone_080,,9,7,0,21.62,0
U700062,FR,web,zone_215,15.36,10,13,0,19.27,0
U700063,FR,web,zone_030,19.41,7,6,0,18.43,0
U700064,FR,android,zone_113,3.71,14,6,0,27.13,0
U700065,FR,android,zone_010,18.49,10,13,0,6.8,0
U700066,BE,web,zone_125,14.2,12,6,0,24.42,0
U700067,FR,android,zone_061,7.81,4,8,0,13.77,0
