user_id,event,ts
U707803,view,2024-09-20T03:26:00
U706334,view,2024-09-01T02:48:00
U707488,search,2024-10-03T12:33:00
U700071,view,2024-11-17T09:30:00
U701904,add_to_cart,2024-10-12T10:14:00
U705349,login,2024-11-24T15:07:00
U705112,purchase,2024-10-25T00:22:00
U706367,view,2024-11-22T01:51:00
U703202,search,2024-09-14T22:30:00
U705095,view,2024-09-01T09:07:00
U707533,view,2024-10-29T00:02:00
U702808,view,2024-11-15T16:11:00
U705418,purchase,2024-09-29T18:37:00
U704271,login,2024-09-20T06:09:00
U702471,login,2024-10-26T15:39:00
U707195,view,2024-09-03T06:04:00
U700136,login,2024-09-16T10:58:00
U702617,purchase,2024-10-22T23:23:00
U701778,logout,2024-11-09T02:12:00
U700510,purchase,2024-09-02T05:41:00
U704854,view,2024-10-31T18:53:00
U701322,search,2024-11-11T04:11:00
U701765,login,2024-11-18T00:52:00
U700073,view,2024-11-13T14:05:00
U707646,login,2024-11-23T12:21:00
U700728,view,2024-09-28T12:31:00
U700048,purchase,2024-11-25T22:20:00
U700293,view,2024-09-30T08:07:00
U705282,search,2024-11-12T07:50:00
U707174,add_to_cart,2024-09-11T08:44:00
U701848,search,2024-09-18T10:41:00
U706314,add_to_cart,2024-10-13T02:13:00
U702787,view,2024-09-14T08:55:00
U704618,search,2024-10-31T12:19:00
U707045,search,2024-11-16T08:43:00
U707806,login,2024-11-11T11:35:00
U702139,login,2024-09-07T13:52:00
U702254,search,2024-11-13T21:27:00
U707931,login,2024-09-15T00:35:00
U700559,add_to_cart,2024-10-02T23:03:00
U707921,view,2024-10-01T20:23:00
U705712,purchase,2024-11-12T03:26:00
U704286,view,2024-10-12T23:46:00
U701880,view,2024-09-16T15:34:00
U701950,search,2024-10-04T05:41:00
U702800,search,2024-11-27T10:25:00
U705851,search,2024-10-16T11:57:00
U701305,view,2024-09-01T18:01:00
U705234,search,2024-09-18T03:12:00
U701817,login,2024-10-27T21:43:00
U701154,view,2024-10-26T16:33:00
U706896,logout,2024-11-12T21:37:00
U700002,view,2024-10-10T11:42:00
U703131,view,2024-11-19T11:05:00
U702045,purchase,2024-10-12T01:36:00
U701786,view,2024-09-15T05:54:00
U702564,add_to_cart,2024-09-18T03:34:00
U700878,purchase,2024-11-06T20:52:00
U706514,search,2024-10-30T14:24:00
U706349,view,2024-09-08T21:15:00
U704733,login,2024-11-27T16:27:00
U701759,purchase,2024-09-25T15:00:00
U703461,add_to_cart,2024-09-30T08:04:00
U705262,view,2024-09-19T10:40:00
U707434,view,2024-10-05T12:43:00
U700950,login,2024-09-20T19:37:00
U704918,view,2024-10-01T23:19:00
U702261,login,2024-09-25T22:26:00
U703550,purchase,2024-09-28T01:41:00
U704155,view,2024-09-09T19:44:00
U706070,search,2024-09-21T03:21:00
U707250,search,2024-09-23T03:12:00
U706246,search,2024-10-19T04:55:00
U706795,search,2024-11-16T12:41:00
U704711,view,2024-11-03T23:27:00
U707797,view,2024-10-27T07:21:00
U701437,add_to_cart,2024-10-24T17:12:00
U704385,search,2024-10-09T22:36:00
U700052,logout,2024-11-28T14:59:00
U703582,view,2024-11-29T20:01:00
U701509,search,2024-10-12T07:05:00
U704511,search,2024-11-07T02:00:00
U703175,purchase,2024-10-21T10:08:00
U707157,login,2024-11-09T20:42:00
U706176,view,2024-10-28T15:33:00
U702060,search,2024-09-25T15:06:00
U704950,view,2024-11-14T01:22:00
U706862,search,2024-11-22T14:44:00
U704174,search,2024-09-27T19:12:00
U701339,login,2024-09-20T12:12:00
U702864,logout,2024-10-05T16:55:00
U702020,login,2024-09-07T03:17:00
U702769,view,2024-10-06T08:53:00
U703277,login,2024-10-05T16:48:00
U701301,login,2024-10-15T20:34:00
U701006,search,2024-11-03T16:17:00
U706606,view,2024-10-25T12:50:00
U704366,login,2024-10-09T10:26:00
U703159,view,2024-11-11T00:55:00
U703453,logout,2024-10-10T00:47:00
U700453,view,2024-10-16T18:19:00
U700994,view,2024-11-05T01:00:00
U701057,logout,2024-11-12T15:01:00
U704749,view,2024-11-08T08:19:00
U706693,search,2024-09-25T17:14:00
U700675,search,2024-11-25T11:12:00
U701796,search,2024-09-17T17:40:00
U700354,add_to_cart,2024-10-20T08:48:00
U705851,search,2024-09-01T20:33:00
U703807,search,2024-09-06T11:02:00
U706366,login,2024-10-23T17:21:00
U705280,login,2024-11-14T09:54:00
U707358,add_to_cart,2024-11-20T05:34:00
U700451,view,2024-11-11T07:51:00
U705498,view,2024-10-23T03:17:00
U704977,search,2024-09-15T21:32:00
U700802,login,2024-09-05T06:31:00
U703813,view,2024-09-09T03:50:00
U707786,purchase,2024-11-16T02:42:00
U705573,search,2024-11-25T01:34:00
U702359,add_to_cart,2024-09-21T11:21:00
U701734,view,2024-09-19T22:44:00
U705078,login,2024-10-13T01:12:00
U702424,view,2024-11-23T05:07:00
U705624,view,2024-10-07T01:28:00
U700882,view,2024-10-23T18:47:00
U707475,view,2024-09-24T07:12:00
U707637,add_to_cart,2024-09-19T16:39:00
U702232,search,2024-10-02T18:50:00
U700921,login,2024-10-01T16:35:00
U704478,view,2024-10-31T16:25:00
U706948,search,2024-09-02T11:08:00
U700287,view,2024-09-29T19:27:00
U703008,view,2024-11-21T23:22:00
U702403,view,2024-10-30T07:01:00
U705804,login,2024-10-20T17:22:00
U701744,add_to_cart,2024-11-06T12:28:00
U700249,view,2024-10-01T14:01:00
U705626,purchase,2024-11-23T06:43:00
U706914,login,2024-11-08T21:24:00
U701666,view,2024-10-03T02:39:00
U701916,view,2024-10-11T22:29:00
U703985,login,2024-11-08T20:48:00
U705179,add_to_cart,2024-10-29T04:06:00
U701308,logout,2024-09-22T17:10:00
U705391,view,2024-10-23T05:09:00
U706143,view,2024-10-31T03:23:00
U704119,view,2024-09-30T19:10:00
U705576,logout,2024-11-04T00:48:00
U706387,view,2024-11-21T12:56:00
U706802,search,2024-09-28T14:22:00
U701260,view,2024-09-02T05:40:00
U702372,view,2024-09-07T04:50:00
U705636,view,2024-10-07T20:13:00
U700103,add_to_cart,2024-10-19T03:35:00
U701702,view,2024-10-21T03:29:00
U705973,search,2024-09-23T19:50:00
U703163,login,2024-10-24T22:43:00
U701568,view,2024-11-14T08:41:00
U707992,view,2024-10-07T04:35:00
U702609,view,2024-09-02T05:45:00
U707735,view,2024-11-27T08:10:00
U700994,view,2024-09-18T14:20:00
U705165,view,2024-10-02T21:32:00
U706425,view,2024-09-24T06:05:00
U706326,login,2024-10-06T19:04:00
U706987,add_to_cart,2024-10-09T22:52:00
U705644,add_to_cart,2024-11-13T18:57:00
U707075,login,2024-11-16T06:25:00
U707644,view,2024-11-25T11:57:00
U705134,login,2024-11-29T10:18:00
U700769,add_to_cart,2024-09-27T15:58:00
U706017,purchase,2024-11-25T21:47:00
U704762,search,2024-09-18T04:26:00
U705441,view,2024-11-06T05:03:00
U706504,view,2024-09-20T08:33:00
U706412,search,2024-11-28T04:14:00
U702634,login,2024-09-14T00:48:00
U700252,search,2024-10-12T05:48:00
U704974,view,2024-10-11T19:31:00
U705189,view,2024-09-28T21:26:00
U705634,search,2024-10-03T16:52:00
U701515,login,2024-10-03T03:02:00
U701965,view,2024-11-04T02:46:00
U702890,view,2024-09-02T19:27:00
U704004,add_to_cart,2024-11-01T02:03:00
U706326,login,2024-11-11T08:27:00
U700448,search,2024-11-10T04:08:00
U706246,add_to_cart,2024-11-21T09:11:00
U705736,add_to_cart,2024-10-15T04:39:00
U707634,search,2024-11-03T19:39:00
U701471,search,2024-10-09T03:02:00
U706245,purchase,2024-10-10T22:01:00
U707546,login,2024-10-16T01:28:00
U703771,search,2024-11-29T11:47:00
U703023,search,2024-10-23T16:40:00
U700530,search,2024-10-31T04:34:00
U704542,login,2024-09-03T20:31:00
U701485,purchase,2024-09-28T13:45:00
U707244,purchase,2024-10-13T02:30:00
U702562,view,2024-11-20T06:52:00
U702715,view,2024-10-06T10:41:00
U701225,view,2024-09-11T02:25:00
U705215,login,2024-11-07T00:35:00
U705167,search,2024-09-27T22:41:00
U706570,login,2024-11-28T12:40:00
U707354,view,2024-10-15T19:30:00
U707326,view,2024-09-16T18:20:00
U707340,search,2024-09-28T19:12:00
U707601,view,2024-10-16T00:11:00
U704048,view,2024-10-22T22:36:00
U702842,login,2024-09-09T11:08:00
U704571,view,2024-09-11T09:55:00
U705507,view,2024-09-24T07:41:00
U705878,view,2024-09-12T09:12:00
U706657,logout,2024-11-24T16:49:00
U702709,view,2024-11-23T21:06:00
U702951,search,2024-10-01T15:12:00
U702149,login,2024-09-18T01:12:00
U700162,view,2024-09-12T11:17:00
U700112,login,2024-10-04T07:20:00
U707963,add_to_cart,2024-11-19T06:56:00
U701728,login,2024-11-19T13:25:00
U705806,search,2024-11-28T01:19:00
U707393,search,2024-10-16T04:58:00
U701770,view,2024-10-24T18:08:00
U705820,add_to_cart,2024-10-10T06:57:00
U707072,add_to_cart,2024-11-10T22:41:00
U704975,search,2024-09-04T02:11:00
U701792,search,2024-09-27T08:06:00
U700457,search,2024-09-07T09:16:00
U700064,add_to_cart,2024-10-12T14:25:00
U705385,view,2024-09-09T19:14:00
U701905,search,2024-10-18T02:21:00
U704353,view,2024-09-23T02:39:00
U702932,logout,2024-09-08T13:48:00
U704867,view,2024-09-21T19:30:00
U703286,login,2024-10-12T02:08:00
U700547,add_to_cart,2024-11-11T20:57:00
U701740,view,2024-11-03T02:50:00
U706137,login,2024-10-10T04:43:00
U707304,view,2024-11-20T10:20:00
U701049,view,2024-10-15T14:11:00
U702196,login,2024-10-06T18:19:00
U703249,purchase,2024-10-28T15:44:00
U703962,login,2024-10-09T20:09:00
U703296,view,2024-10-12T23:35:00
U701548,view,2024-10-24T08:54:00
U707164,purchase,2024-10-04T06:20:00
U702762,search,2024-09-15T06:01:00
U701477,search,2024-09-07T11:04:00
U700660,purchase,2024-10-05T22:44:00
U703166,search,2024-11-25T06:34:00
U704875,logout,2024-09-22T11:57:00
U707845,view,2024-11-04T00:53:00
U704551,login,2024-11-22T23:45:00
U706849,add_to_cart,2024-09-23T22:27:00
U705013,add_to_cart,2024-11-05T02:43:00
