tx_id,amount,merchant,payment_method,country,hour,is_first_time_merchant,device_trust_score,is_fraud
F900000,49.29,m_086,card_not_present,IT,21,0,0.388,0
F900001,191.1,m_116,card_present,FR,7,0,0.599,0
F900002,489.34,m_137,card_not_present,BE,19,0,0.867,0
F900003,23.42,m_058,card_not_present,FR,11,0,0.638,0
F900004,130.78,m_162,card_not_present,FR,1,0,0.552,0
F900005,23.79,m_139,card_present,FR,23,0,0.777,0
F900006,90.76,m_071,card_not_present,IT,5,1,0.678,0
F900007,38.07,m_128,card_present,IT,0,0,0.617,0
F900008,70.2,m_130,card_present,FR,2,0,0.923,0
F900009,76.84,m_123,card_not_present,FR,20,0,0.836,0
F900010,5.83,m_158,card_present,DE,18,1,0.719,0
F900011,64.11,m_164,card_not_present,FR,16,0,0.638,0
F900012,58.05,m_130,card_not_present,FR,2,0,0.551,0
F900013,171.87,m_056,card_not_present,FR,3,0,0.847,1
F900014,3.26,m_113,bank_transfer,IT,8,0,0.798,0
F900015,20.13,m_104,bank_transfer,BE,7,1,0.851,0
F900016,11.87,m_149,card_present,CH,5,0,0.637,0
F900017,66.91,m_007,card_present,IT,11,0,0.649,0
F900018,274.72,m_171,card_not_present,FR,3,0,1.0,0
F900019,7.65,m_067,wallet,ES,6,0,0.599,0
F900020,31.34,m_170,card_present,IT,8,0,0.616,0
F900021,98.94,m_008,card_not_present,FR,23,0,0.622,0
F900022,34.47,m_023,wallet,CH,14,0,0.728,0
F900023,13.8,m_078,wallet,IT,13,0,0.75,0
F900024,14.24,m_075,card_present,CH,20,0,0.835,0
F900025,25.99,m_158,card_not_present,FR,1,0,0.825,0
F900026,226.47,m_041,card_not_present,FR,16,0,0.63,0
F900027,36.13,m_110,card_not_present,FR,19,0,0.757,0
F900028,213.72,m_136,wallet,ES,16,0,0.627,0
F900029,17.68,m_004,bank_transfer,FR,6,0,0.795,0
F900030,9.29,m_087,card_present,CH,20,0,0.674,0
F900031,16.1,m_052,card_present,FR,9,0,0.415,0
F900032,10.48,m_079,card_present,FR,14,0,0.341,0
F900033,34.06,m_014,card_present,FR,13,0,0.43,0
F900034,25.31,m_124,card_not_present,BE,14,0,0.645,0
F900035,32.0,m_006,wallet,FR,20,0,0.704,0
F900036,21.84,m_076,card_not_present,DE,13,0,0.426,0
F900037,57.75,m_002,wallet,FR,16,0,0.311,0
F900038,12.42,m_116,card_present,FR,11,0,0.642,0
F900039,41.79,m_063,bank_transfer,DE,15,0,0.815,0
F900040,37.61,m_038,bank_transfer,FR,1,0,0.529,0
F900041,26.91,m_141,wallet,CH,8,0,0.57,0
F900042,11.84,m_146,card_not_present,FR,18,1,0.911,0
F900043,13.35,m_107,card_not_present,DE,7,0,0.71,0
F900044,12.95,m_139,card_present,FR,6,0,0.366,0
F900045,33.78,m_176,card_present,CH,22,0,1.0,0
F900046,52.08,m_006,card_not_present,FR,13,0,0.716,0
F900047,22.89,m_097,card_not_present,IT,3,1,0.559,0
F900048,109.9,m_033,card_present,FR,21,0,0.303,0
F900049,27.05,m_026,wallet,FR,3,0,0.794,0
F900050,21.23,m_051,card_not_present,FR,2,0,0.929,0
F900051,145.5,m_046,wallet,BE,9,0,0.915,0
F900052,43.04,m_109,card_not_present,BE,21,0,0.591,0
F900053,34.04,m_033,wallet,IT,12,0,0.379,0
F900054,61.47,m_052,card_present,ES,15,0,0.699,0
F900055,27.5,m_022,card_present,FR,4,0,0.899,0
F900056,8.83,m_174,card_not_present,ES,17,0,0.67,0
F900057,1.7,m_078,card_present,IT,3,0,0.654,0
F900058,8.13,m_153,bank_transfer,FR,19,0,0.857,0
F900059,75.28,m_095,bank_transfer,FR,0,0,0.442,0
F900060,66.37,m_045,card_present,DE,23,0,0.541,0
F900061,76.47,m_112,wallet,FR,13,0,1.0,0
F900062,40.73,m_032,card_not_present,ES,10,0,0.58,0
F900063,26.3,m_030,card_not_present,CH,12,0,0.699,0
F900064,13.51,m_172,bank_transfer,DE,10,0,0.746,0
F900065,89.69,m_069,bank_transfer,FR,16,1,0.654,0
F900066,27.98,m_116,card_not_present,ES,6,1,0.443,1
F900067,93.76,m_047,card_not_present,FR,1,0,0.634,0
F900068,12.51,m_049,card_present,,8,1,0.589,0
F900069,34.5,m_044,wallet,FR,17,0,0.733,0
F900070,150.38,m_078,card_present,,16,0,0.365,0
F900071,9.38,m_021,card_not_present,FR,12,0,0.874,0
F900072,60.11,m_015,wallet,FR,15,0,0.513,0
F900073,23.59,m_157,card_not_present,FR,18,0,0.791,0
F900074,34.68,m_150,card_not_present,FR,2,0,0.86,1
F900075,13.79,m_174,card_not_present,,22,0,0.504,0
F900076,11.2,m_009,card_not_present,CH,10,0,0.836,0
F900077,96.87,m_048,card_not_present,FR,21,0,0.562,0
F900078,,m_061,card_present,FR,17,0,0.59,0
F900079,146.35,m_093,card_not_present,BE,21,0,1.0,0
F900080,52.78,m_076,card_present,IT,12,0,0.675,0
F900081,8.65,m_112,card_present,ES,0,0,0.7,0
F900082,15.86,m_175,bank_transfer,FR,19,1,0.574,0
F900083,84.8,m_139,card_not_present,FR,23,0,0.895,0
F900084,11.74,m_171,card_present,FR,12,1,0.641,0
F900085,14.48,m_133,card_not_present,FR,22,0,0.742,0
F900086,206.04,m_049,card_not_present,FR,21,0,0.537,0
F900087,49.02,m_171,card_not_present,BE,11,0,0.444,0
F900088,185.68,m_047,card_present,BE,18,0,0.565,0
F900089,78.53,m_129,bank_transfer,IT,5,0,0.749,1
F900090,24.46,m_164,wallet,IT,22,0,0.67,0
F900091,42.17,m_104,card_not_present,FR,22,0,1.0,0
F900092,2.79,m_029,card_present,DE,1,0,0.884,0
F900093,44.93,m_049,card_present,BE,0,0,0.461,1
F900094,10.57,m_078,card_present,IT,7,1,0.836,0
F900095,93.63,m_068,card_present,BE,19,0,0.702,0
F900096,47.24,m_136,bank_transfer,FR,8,0,0.781,0
F900097,33.77,m_014,card_not_present,FR,7,0,0.574,0
F900098,24.57,m_157,card_not_present,FR,15,1,0.488,0
F900099,22.79,m_108,wallet,BE,8,1,0.817,1
F900100,82.78,m_030,card_not_present,FR,18,0,0.765,0
F900101,8.2,m_025,card_present,FR,20,0,0.771,0
F900102,15.08,m_155,card_not_present,FR,18,0,1.0,0
F900103,117.07,m_033,card_present,ES,9,0,0.845,0
F900104,8.99,m_122,card_not_present,CH,7,0,0.628,0
F900105,18.85,m_059,card_not_present,FR,6,0,0.977,1
F900106,3.14,m_124,card_not_present,FR,14,1,0.825,1
F900107,67.57,m_097,card_present,ES,18,0,0.673,0
F900108,20.43,m_151,card_not_present,CH,19,0,0.801,0
F900109,28.18,m_036,card_not_present,FR,0,0,0.853,0
F900110,18.54,m_022,card_present,FR,12,0,0.733,0
F900111,22.51,m_070,card_not_present,FR,11,0,0.817,0
F900112,6.67,m_001,card_not_present,FR,17,0,0.871,0
F900113,33.22,m_005,card_present,FR,1,0,0.628,0
F900114,68.73,m_126,card_present,FR,15,0,0.643,0
F900115,99.89,m_050,card_not_present,FR,17,1,0.67,1
F900116,48.45,m_066,card_not_present,DE,17,0,0.689,0
F900117,37.51,m_084,card_not_present,DE,15,0,0.626,1
F900118,80.72,m_172,card_not_present,CH,15,0,1.0,0
F900119,7.21,m_111,card_present,CH,16,0,0.899,0
F900120,40.79,m_173,card_present,FR,21,0,0.66,0
F900121,22.75,m_143,card_not_present,IT,6,0,0.467,0
F900122,39.45,m_049,card_not_present,IT,15,0,0.568,0
F900123,5.99,m_050,card_present,FR,11,1,0.775,0
F900124,25.31,m_089,card_present,FR,22,0,0.563,0
F900125,118.73,m_040,card_not_present,DE,22,0,1.0,0
F900126,59.99,m_074,card_present,FR,5,1,1.0,0
F900127,120.34,m_179,card_present,FR,10,1,0.743,0
F900128,76.0,m_057,wallet,ES,4,0,0.658,0
F900129,6.68,m_139,card_present,FR,6,0,0.353,0
F900130,40.27,m_028,bank_transfer,FR,12,0,0.917,0
F900131,19.92,m_148,bank_transfer,FR,22,0,0.844,0
F900132,39.28,m_140,card_not_present,CH,23,0,1.0,0
F900133,16.64,m_135,card_present,FR,10,1,0.732,0
F900134,96.4,m_150,card_present,IT,9,0,0.642,0
F900135,9.54,m_053,card_not_present,IT,15,1,0.741,0
F900136,23.98,m_138,card_present,FR,0,0,0.573,0
F900137,87.41,m_140,card_present,IT,19,0,0.675,0
F900138,116.22,m_108,card_not_present,FR,2,0,0.431,0
F900139,61.62,m_123,card_not_present,FR,15,0,0.834,0
F900140,2.86,m_013,card_not_present,IT,18,0,0.701,0
F900141,146.07,m_062,card_not_present,FR,23,0,0.864,1
F900142,33.64,m_146,card_present,FR,23,1,0.633,0
F900143,171.82,m_018,card_present,BE,22,0,0.635,0
F900144,71.45,m_173,card_not_present,FR,22,0,0.841,0
F900145,117.64,m_083,card_not_present,FR,22,0,0.769,0
F900146,87.38,m_150,card_not_present,FR,7,0,0.715,0
F900147,11.79,m_077,card_present,FR,23,0,0.917,0
F900148,13.09,m_144,card_present,FR,3,0,0.687,0
F900149,35.04,m_115,card_not_present,CH,17,0,0.643,0
F900150,21.23,m_165,card_not_present,FR,11,1,0.57,0
F900151,,m_068,card_present,FR,7,0,0.714,0
F900152,15.16,m_126,card_present,FR,1,0,0.704,0
F900153,33.5,m_100,card_not_present,IT,8,0,0.78,0
F900154,6.22,m_071,card_present,FR,6,0,0.407,0
F900155,147.59,m_083,card_not_present,ES,13,0,0.703,0
F900156,9.03,m_087,card_present,ES,7,0,1.0,0
F900157,48.57,m_031,card_present,BE,3,0,0.761,0
F900158,58.89,m_088,card_not_present,FR,16,0,0.56,0
F900159,17.74,m_048,card_present,FR,19,0,0.221,0
F900160,14.47,m_116,card_present,CH,13,0,0.865,1
F900161,17.58,m_106,card_not_present,FR,14,0,0.641,0
F900162,41.53,m_112,card_not_present,ES,8,0,0.726,0
F900163,30.41,m_072,card_present,FR,4,0,0.511,0
F900164,49.99,m_122,card_present,IT,10,0,0.879,0
F900165,40.49,m_137,card_present,FR,18,0,0.485,0
F900166,73.73,m_158,bank_transfer,FR,8,0,0.904,0
F900167,85.23,m_012,card_not_present,IT,17,0,0.64,0
F900168,8.33,m_156,wallet,FR,6,1,0.898,0
F900169,70.46,m_035,card_present,FR,14,0,0.968,0
F900170,87.02,m_022,card_present,IT,22,1,0.707,0
